Символ: В | Код: 1111111
Символ: . | Код: 1111110
Символ: ц | Код: 111110
Символ: л | Код: 1101
Символ: Ю | Код: 101111
Символ: ю | Код: 1011100
Символ: у | Код: 1011011
Символ: <пробел> | Код: 1100
Символ: , | Код: 0000
Символ: я | Код: 11100
Символ: о | Код: 0001
Символ: с | Код: 0101
Символ: ч | Код: 11101
Символ: й | Код: 01000
Символ: б | Код: 101001
Символ: ф | Код: 100
Символ: з | Код: 1011101
Символ: Б | Код: 01001
Символ: ь | Код: 1011010
Символ: а | Код: 11110
Символ: ы | Код: 001
Символ: в | Код: 011
Символ: м | Код: 101100
Символ: А | Код: 101000
Символ: д | Код: 10101
